#quantity: log10(EW/Angstrom)
#line: HI6563
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 2.65 2.81 2.94
43.60 10074 2.78 2.92 3.04
43.80 9326 2.84 2.98 3.09
44.00 6001 2.88 2.99 3.11
44.20 2632 2.89 3.01 3.11
44.40 776 2.92 3.02 3.10
44.60 157 2.93 3.00 3.08
44.80 15 2.83 2.97 3.07
