#quantity: log10(L^line/L^FUV)
#line: HI1216
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 28 -0.97 -0.86 -0.76
43.60 87 -0.83 -0.75 -0.66
43.80 171 -0.78 -0.71 -0.63
44.00 115 -0.73 -0.65 -0.60
44.20 43 -0.73 -0.67 -0.62
