#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 1097 0.84 1.03 1.15
8.30 594 0.91 1.04 1.14
8.50 272 0.93 1.06 1.13
8.70 117 0.97 1.06 1.13
8.90 65 0.99 1.05 1.11
9.10 19 0.95 1.05 1.12
