#quantity: log10(EW/Angstrom)
#line: CIII1909-CIII1907
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(M*/Msun) N P16 P50 P84
8.10 15827 0.75 0.98 1.13
8.30 9746 0.84 1.01 1.13
8.50 5791 0.89 1.03 1.13
8.70 3269 0.92 1.04 1.13
8.90 1646 0.94 1.04 1.12
9.10 851 0.93 1.03 1.10
9.30 352 0.90 1.01 1.09
9.50 162 0.89 0.99 1.06
9.70 79 0.81 0.92 1.01
9.90 25 0.73 0.86 1.00
