#quantity: log10(EW/Angstrom)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 0.74 0.90 1.06
43.60 2641 0.88 1.03 1.18
43.80 2955 0.99 1.12 1.24
44.00 1889 1.07 1.18 1.28
44.20 762 1.14 1.24 1.32
44.40 201 1.18 1.27 1.35
44.60 39 1.23 1.29 1.34
