#quantity: log10(EW/Angstrom)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 194 0.76 0.93 1.08
43.60 536 0.90 1.06 1.20
43.80 712 1.03 1.15 1.26
44.00 445 1.12 1.21 1.31
44.20 196 1.16 1.26 1.36
44.40 55 1.22 1.30 1.38
