#quantity: log10(EW/Angstrom)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 0.75 0.92 1.09
43.60 10074 0.89 1.04 1.18
43.80 9326 0.99 1.12 1.24
44.00 6001 1.08 1.19 1.29
44.20 2632 1.15 1.25 1.33
44.40 776 1.21 1.30 1.37
44.60 157 1.23 1.31 1.37
44.80 15 1.15 1.33 1.39
