#quantity: log10(EW/Angstrom)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 0.72 0.90 1.07
43.60 32284 0.86 1.01 1.15
43.80 27929 0.96 1.09 1.20
44.00 17473 1.05 1.15 1.24
44.20 7842 1.12 1.21 1.29
44.40 2495 1.17 1.25 1.33
44.60 520 1.19 1.27 1.34
44.80 88 1.20 1.30 1.36
