#quantity: log10(L^line/L^FUV)
#line: HI4861
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 -2.37 -2.24 -2.13
43.60 10074 -2.26 -2.16 -2.08
43.80 9326 -2.19 -2.10 -2.04
44.00 6001 -2.14 -2.06 -1.99
44.20 2632 -2.10 -2.02 -1.94
44.40 776 -2.06 -1.98 -1.91
44.60 157 -2.05 -1.99 -1.91
44.80 15 -2.10 -2.01 -1.92
