#quantity: log10(L^line/L^FUV)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 6373 -3.84 -3.67 -3.51
43.60 10074 -3.74 -3.59 -3.45
43.80 9326 -3.66 -3.52 -3.37
44.00 6001 -3.58 -3.43 -3.25
44.20 2632 -3.49 -3.32 -3.13
44.40 776 -3.41 -3.24 -3.06
44.60 157 -3.36 -3.20 -3.06
44.80 15 -3.25 -3.15 -3.09
