#quantity: log10(L^line/L^FUV)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 1119 -3.86 -3.70 -3.54
43.60 2641 -3.76 -3.61 -3.47
43.80 2955 -3.69 -3.55 -3.41
44.00 1889 -3.61 -3.47 -3.31
44.20 762 -3.53 -3.37 -3.18
44.40 201 -3.47 -3.32 -3.12
44.60 39 -3.39 -3.25 -3.11
