#quantity: log10(L^line/L^FUV)
#line: SII6731-SII6716
#z:13
#SPS: BPASSv2.2.1.binary
#IMF: ModSalpeter_300
log10(L^FUV/erg/s) N P16 P50 P84
43.40 24237 -3.85 -3.67 -3.51
43.60 32284 -3.75 -3.59 -3.45
43.80 27929 -3.66 -3.51 -3.37
44.00 17473 -3.57 -3.41 -3.23
44.20 7842 -3.48 -3.30 -3.10
44.40 2495 -3.41 -3.23 -3.06
44.60 520 -3.33 -3.18 -3.06
44.80 88 -3.26 -3.15 -3.05
